x,f1(x),f2(x)
3.98107e-06,0.500005,0.499998
3.94457e-06,0.499997,0.499998
3.90841e-06,0.500004,0.499998
3.87258e-06,0.500001,0.499998
3.83707e-06,0.500007,0.499998
3.80189e-06,0.500009,0.499998
3.76704e-06,0.499995,0.499998
3.7325e-06,0.499998,0.499998
3.69828e-06,0.500008,0.499998
3.66438e-06,0.499994,0.499998
3.63078e-06,0.500008,0.499998
3.59749e-06,0.500005,0.499998
3.56451e-06,0.500004,0.499998
3.53183e-06,0.500007,0.499998
3.49945e-06,0.500002,0.499998
3.46737e-06,0.499989,0.499998
3.43558e-06,0.499991,0.499998
3.40408e-06,0.499993,0.499998
3.37287e-06,0.499998,0.499998
3.34195e-06,0.49999,0.499998
3.31131e-06,0.50001,0.499998
3.28095e-06,0.500003,0.499998
3.25087e-06,0.499991,0.499998
3.22107e-06,0.499999,0.499998
3.19154e-06,0.499986,0.499998
3.16228e-06,0.5,0.499998
3.13329e-06,0.5,0.499998
3.10456e-06,0.499988,0.499998
3.0761e-06,0.499991,0.499998
3.04789e-06,0.500013,0.499998
3.01995e-06,0.500008,0.499998
2.99226e-06,0.500004,0.499999
2.96483e-06,0.500004,0.499999
2.93765e-06,0.499986,0.499999
2.91072e-06,0.500004,0.499999
2.88403e-06,0.500009,0.499999
2.85759e-06,0.500005,0.499999
2.83139e-06,0.499995,0.499999
2.80543e-06,0.49998,0.499999
2.77971e-06,0.499994,0.499999
2.75423e-06,0.50001,0.499999
2.72898e-06,0.500004,0.499999
2.70396e-06,0.500006,0.499999
2.67917e-06,0.499991,0.499999
2.65461e-06,0.499991,0.499999
2.63027e-06,0.500011,0.499999
2.60615e-06,0.49999,0.499999
2.58226e-06,0.499995,0.499999
2.55859e-06,0.499997,0.499999
2.53513e-06,0.499999,0.499999
2.51189e-06,0.500004,0.499999
2.48886e-06,0.500015,0.499999
2.46604e-06,0.500001,0.499999
2.44343e-06,0.499999,0.499999
2.42103e-06,0.500013,0.499999
2.39883e-06,0.500009,0.499999
2.37684e-06,0.49999,0.499999
2.35505e-06,0.499998,0.499999
2.33346e-06,0.499996,0.499999
2.31206e-06,0.499987,0.499999
2.29087e-06,0.499974,0.499999
2.26986e-06,0.500004,0.499999
2.24905e-06,0.499993,0.499999
2.22844e-06,0.499988,0.499999
2.208e-06,0.499992,0.499999
2.18776e-06,0.50001,0.499999
2.1677e-06,0.499996,0.499999
2.14783e-06,0.500002,0.499999
2.12814e-06,0.499983,0.499999
2.10863e-06,0.49999,0.499999
2.0893e-06,0.499976,0.499999
2.07014e-06,0.499997,0.499999
2.05116e-06,0.500004,0.499999
2.03236e-06,0.5,0.499999
2.01372e-06,0.499987,0.499999
1.99526e-06,0.500024,0.499999
1.97697e-06,0.500003,0.499999
1.95884e-06,0.499982,0.499999
1.94089e-06,0.500023,0.499999
1.92309e-06,0.500013,0.499999
1.90546e-06,0.500013,0.499999
1.88799e-06,0.500027,0.499999
1.87068e-06,0.499996,0.499999
1.85353e-06,0.499985,0.499999
1.83654e-06,0.499998,0.499999
1.8197e-06,0.499973,0.499999
1.80302e-06,0.499978,0.499999
1.78649e-06,0.500021,0.499999
1.77011e-06,0.500033,0.499999
1.75388e-06,0.500018,0.499999
1.7378e-06,0.499976,0.499999
1.72187e-06,0.499985,0.499999
1.70608e-06,0.499973,0.499999
1.69044e-06,0.500022,0.499999
1.67494e-06,0.499978,0.499999
1.65959e-06,0.500002,0.499999
1.64437e-06,0.500019,0.499999
1.6293e-06,0.499946,0.499999
1.61436e-06,0.499954,0.499999
1.59956e-06,0.50005,0.499999
1.58489e-06,0.499977,0.499999
1.57036e-06,0.499998,0.499999
1.55597e-06,0.50003,0.499999
1.5417e-06,0.499984,0.499999
1.52757e-06,0.500049,0.499999
1.51356e-06,0.499944,0.499999
1.49968e-06,0.499958,0.499999
1.48594e-06,0.500002,0.499999
1.47231e-06,0.499976,0.499999
1.45881e-06,0.499985,0.499999
1.44544e-06,0.500034,0.499999
1.43219e-06,0.500021,0.499999
1.41906e-06,0.499944,0.499999
1.40605e-06,0.500029,0.499999
1.39316e-06,0.500059,0.499999
1.38038e-06,0.500033,0.499999
1.36773e-06,0.499952,0.499999
1.35519e-06,0.499938,0.499999
1.34276e-06,0.499996,0.499999
1.33045e-06,0.500009,0.499999
1.31826e-06,0.499977,0.499999
1.30617e-06,0.500032,0.499999
1.2942e-06,0.500048,0.499999
1.28233e-06,0.500028,0.499999
1.27057e-06,0.499971,0.499999
1.25893e-06,0.500019,0.499999
1.24738e-06,0.50004,0.499999
1.23595e-06,0.500033,0.499999
1.22462e-06,0.500001,0.499999
1.21339e-06,0.499947,0.499999
1.20226e-06,0.500024,0.499999
1.19124e-06,0.499932,0.499999
1.18032e-06,0.499982,0.499999
1.1695e-06,0.500024,0.499999
1.15878e-06,0.499895,0.499999
1.14815e-06,0.499924,0.499999
1.13763e-06,0.499954,0.499999
1.1272e-06,0.499986,0.499999
1.11686e-06,0.500025,0.499999
1.10662e-06,0.500074,0.499999
1.09648e-06,0.499952,0.499999
1.08643e-06,0.500029,0.499999
1.07647e-06,0.499936,0.499999
1.0666e-06,0.500057,0.499999
1.05682e-06,0.500009,0.499999
1.04713e-06,0.49999,0.499999
1.03753e-06,0.500003,0.499999
1.02802e-06,0.500054,0.499999
1.01859e-06,0.499934,0.499999
1.00925e-06,0.500073,0.499999
1e-06,0.500044,0.5
9.90832e-07,0.500068,0.5
9.81748e-07,0.499919,0.5
9.72747e-07,0.500062,0.5
9.63829e-07,0.500037,0.5
9.54993e-07,0.500081,0.5
9.46237e-07,0.499955,0.5
9.37562e-07,0.500156,0.5
9.28966e-07,0.499934,0.5
