x1,x2,y1,y2
0.18492,-0.0937901,-1.99143,-1.03106
0.204534,-0.142144,-1.98951,-1.05153
0.222774,-0.189729,-1.98755,-1.0766
0.239425,-0.236444,-1.98562,-1.1061
0.254304,-0.282208,-1.98377,-1.13987
0.267257,-0.326956,-1.98206,-1.17776
0.278151,-0.370635,-1.98056,-1.21959
0.286869,-0.413201,-1.97932,-1.26524
0.293301,-0.454613,-1.97838,-1.31458
0.297342,-0.494834,-1.97777,-1.36748
0.298888,-0.533824,-1.97754,-1.42383
0.297828,-0.571543,-1.9777,-1.48354
0.294042,-0.607943,-1.97827,-1.5465
0.287399,-0.642971,-1.97924,-1.61262
0.277748,-0.676565,-1.98062,-1.68181
0.264918,-0.708649,-1.98238,-1.75398
0.248708,-0.739135,-1.98448,-1.82902
0.228879,-0.767914,-1.98686,-1.90683
0.205147,-0.794851,-1.98945,-1.9873
0.177164,-0.81978,-1.99214,-2.07026
0.144502,-0.842489,-1.99477,-2.15555
0.106621,-0.862706,-1.99716,-2.24293
0.062834,-0.880073,-1.99901,-2.33207
0.0122399,-0.894102,-1.99996,-2.42251
-0.0463637,-0.904114,-1.99946,-2.51353
-0.114615,-0.909121,-1.99671,-2.60397
-0.194759,-0.907638,-1.99049,-2.69178
-0.289706,-0.897374,-1.97891,-2.7731
-0.402143,-0.875018,-1.95915,-2.84028
-0.529643,-0.837511,-1.92859,-2.88002
-0.656788,-0.787011,-1.88908,-2.88057
-0.767242,-0.730964,-1.84698,-2.84632
-0.857456,-0.674973,-1.80687,-2.79008
-0.930216,-0.621238,-1.77051,-2.72158
-0.989052,-0.570243,-1.73833,-2.6464
-1.03673,-0.521933,-1.71032,-2.56763
-1.07524,-0.476141,-1.68637,-2.48705
-1.10598,-0.432701,-1.66638,-2.40577
-1.12994,-0.391484,-1.65022,-2.32453
-1.14785,-0.352397,-1.63781,-2.24383
-1.16024,-0.31538,-1.62906,-2.16405
-1.16749,-0.280403,-1.62387,-2.08548
-1.16987,-0.247454,-1.62216,-2.00835
-1.16758,-0.216544,-1.62381,-1.93287
-1.16076,-0.187692,-1.6287,-1.85923
-1.14947,-0.160929,-1.63668,-1.7876
-1.13379,-0.136287,-1.64758,-1.71816
-1.11375,-0.113798,-1.66119,-1.65107
-1.08936,-0.0934885,-1.67729,-1.58651
-1.06065,-0.0753717,-1.69559,-1.52466
-1.02767,-0.0594447,-1.71578,-1.46569
-0.990455,-0.0456828,-1.73753,-1.4098
-0.949099,-0.034035,-1.76046,-1.35715
-0.90372,-0.0244212,-1.78418,-1.30791
-0.854474,-0.0167309,-1.80828,-1.26222
-0.801565,-0.0108237,-1.83235,-1.2202
-0.745231,-0.00653235,-1.85597,-1.18194
-0.685751,-0.00366866,-1.87876,-1.14749
-0.623429,-0.00203093,-1.90035,-1.11686
-0.558591,-0.00141321,-1.92041,-1.09002
-0.491571,-0.00161505,-1.93865,-1.0669
-0.422701,-0.00245047,-1.95482,-1.04741
-0.352303,-0.00375534,-1.96873,-1.03143
-0.280682,-0.00539198,-1.98021,-1.01885
-0.208124,-0.00725069,-1.98914,-1.00952
-0.134896,-0.00924795,-1.99545,-1.00337
-0.0612467,-0.0113216,-1.99906,-1.00031
0.0125836,-0.0134237,-1.99996,-1.0003
0.0863597,-0.0155117,-1.99813,-1.00334
0.159842,-0.0175396,-1.9936,-1.00946
0.23278,-0.0194483,-1.98641,-1.01874
0.304906,-0.021159,-1.97662,-1.03127
0.375931,-0.0225671,-1.96435,-1.04718
0.445546,-0.0235403,-1.94974,-1.06659
0.513424,-0.0239193,-1.93298,-1.08961
0.579225,-0.0235218,-1.91429,-1.11636
0.642606,-0.0221496,-1.89395,-1.14689
0.703229,-0.0195966,-1.87229,-1.18126
0.760775,-0.015659,-1.84965,-1.21946
0.814952,-0.0101444,-1.82643,-1.26144
0.865503,-0.00287942,-1.80303,-1.30713
0.912209,0.00628372,-1.77985,-1.35641
0.954896,0.017464,-1.75732,-1.40915
0.993428,0.0307503,-1.73583,-1.46518
1.02771,0.0462021,-1.71575,-1.52433
1.05767,0.0638525,-1.69745,-1.58641
1.08326,0.0837119,-1.68123,-1.65125
1.10446,0.105773,-1.66739,-1.71867
1.12122,0.130016,-1.65616,-1.78848
1.13352,0.156413,-1.64777,-1.86051
1.14129,0.184935,-1.64239,-1.93458
1.14446,0.215556,-1.64019,-2.01052
1.14287,0.248256,-1.64129,-2.08813
1.13635,0.283031,-1.64582,-2.16721
1.12461,0.319891,-1.65386,-2.24752
1.10728,0.35887,-1.66551,-2.32876
1.08382,0.400032,-1.68087,-2.41055
1.05353,0.443474,-1.70002,-2.49239
1.01538,0.489334,-1.72308,-2.57354
0.967967,0.537791,-1.75015,-2.6529
0.909281,0.589044,-1.78135,-2.72869
0.836464,0.64321,-1.81668,-2.79783
0.745757,0.699944,-1.85576,-2.85471
0.634097,0.757186,-1.89682,-2.88921
0.506413,0.808845,-1.93482,-2.888
0.380708,0.847297,-1.96343,-2.84791
0.270122,0.871174,-1.98167,-2.78088
0.176553,0.883334,-1.99219,-2.69963
0.0976068,0.886848,-1.99762,-2.6117
0.0305211,0.883914,-1.99977,-2.52104
-0.0268928,0.875985,-1.99982,-2.42972
-0.0762529,0.864034,-1.99855,-2.33893
-0.118753,0.848731,-1.99647,-2.2494
-0.155289,0.830558,-1.99396,-2.16161
-0.186546,0.809869,-1.99128,-2.07588
-0.21306,0.786933,-1.98862,-1.99246
-0.235257,0.761958,-1.98612,-1.91154
-0.253483,0.735108,-1.98387,-1.83325
-0.268021,0.706516,-1.98196,-1.75773
-0.279107,0.676287,-1.98043,-1.68509
-0.286939,0.64451,-1.97931,-1.61544
-0.29169,0.611257,-1.97861,-1.54886
-0.293506,0.57659,-1.97835,-1.48547
