x1,x2,y1,y2
0.110217,0.67641,-1.99696,-1.17269
0.168502,0.669696,-1.99289,-1.12755
0.228051,0.662269,-1.98696,-1.08615
0.288473,0.654283,-1.97909,-1.0484
0.34939,0.645877,-1.96925,-1.01421
0.410446,0.637174,-1.95743,-0.983472
0.47131,0.628275,-1.94367,-0.956069
0.531683,0.619261,-1.92803,-0.931876
0.591301,0.610194,-1.91059,-0.910771
0.649933,0.601118,-1.89145,-0.892643
0.707387,0.592058,-1.87072,-0.877395
0.763501,0.583033,-1.84853,-0.86495
0.818146,0.574053,-1.825,-0.855251
0.871217,0.565127,-1.80027,-0.84827
0.92263,0.55627,-1.77447,-0.844
0.972317,0.547503,-1.74774,-0.842461
1.02022,0.538865,-1.72022,-0.843693
1.06629,0.530409,-1.69205,-0.847754
1.11046,0.522208,-1.66339,-0.854716
1.1527,0.514356,-1.63441,-0.864655
1.19293,0.506963,-1.60528,-0.877645
1.23109,0.500156,-1.5762,-0.893755
1.26711,0.494071,-1.54739,-0.913038
1.30093,0.488849,-1.51908,-0.935526
1.33246,0.484625,-1.49149,-0.961231
1.36164,0.481528,-1.4649,-0.990139
1.38842,0.479668,-1.43954,-1.02221
1.41275,0.479136,-1.41568,-1.0574
1.43459,0.479999,-1.39354,-1.09562
1.45391,0.482303,-1.37337,-1.13678
1.47072,0.486068,-1.35536,-1.18081
1.48499,0.491297,-1.3397,-1.22759
1.49675,0.497976,-1.32655,-1.27704
1.50599,0.506074,-1.31605,-1.32906
1.51272,0.515555,-1.30831,-1.38356
1.51694,0.526374,-1.30342,-1.44046
1.51864,0.538487,-1.30144,-1.49969
1.5178,0.551848,-1.30242,-1.56116
1.51437,0.566415,-1.3064,-1.6248
1.5083,0.58215,-1.3134,-1.69056
1.4995,0.599026,-1.32344,-1.75835
1.48785,0.617019,-1.33652,-1.8281
1.47321,0.636122,-1.35265,-1.89972
1.45536,0.656333,-1.37183,-1.97312
1.43407,0.677667,-1.39407,-2.04817
1.40902,0.700152,-1.41939,-2.12473
1.37981,0.723833,-1.4478,-2.20259
1.34592,0.748773,-1.47936,-2.28149
1.3067,0.775054,-1.51412,-2.36109
1.26127,0.802781,-1.55216,-2.44086
1.20847,0.832074,-1.59361,-2.52007
1.14671,0.863059,-1.63862,-2.59754
1.07373,0.89581,-1.68734,-2.67138
0.986389,0.930177,-1.73984,-2.73826
0.880736,0.965216,-1.79563,-2.79206
0.75431,0.997652,-1.8523,-2.82224
0.613844,1.02028,-1.90347,-2.81715
0.476839,1.02673,-1.94232,-2.77756
0.354429,1.0179,-1.96834,-2.71655
0.247151,0.997976,-1.98467,-2.64517
0.152311,0.97034,-1.99419,-2.56937
0.0672969,0.937182,-1.99887,-2.49212
-0.00988904,0.899916,-1.99998,-2.41501
-0.0807291,0.859489,-1.99837,-2.33894
-0.146338,0.816572,-1.99464,-2.26446
-0.207575,0.771663,-1.9892,-2.19192
-0.265122,0.725145,-1.98235,-2.12153
-0.319532,0.67733,-1.97431,-2.05346
-0.371268,0.628477,-1.96524,-1.9878
-0.420722,0.578809,-1.95525,-1.92463
-0.468234,0.528525,-1.94442,-1.86397
-0.514102,0.477807,-1.9328,-1.80584
-0.558591,0.426825,-1.92041,-1.75025
-0.601939,0.375742,-1.90727,-1.69717
-0.644359,0.324714,-1.89336,-1.64658
-0.68604,0.273896,-1.87866,-1.59844
-0.727153,0.22344,-1.86313,-1.55269
-0.767842,0.173496,-1.84673,-1.50927
-0.808235,0.124214,-1.82941,-1.46811
-0.84843,0.0757399,-1.81112,-1.42914
-0.888505,0.028217,-1.7918,-1.39228
-0.92851,-0.0182169,-1.7714,-1.35744
-0.96847,-0.0634315,-1.74988,-1.32455
-1.00838,-0.107306,-1.72718,-1.29352
-1.04822,-0.149733,-1.7033,-1.2643
-1.08794,-0.190617,-1.67821,-1.23683
-1.12746,-0.229881,-1.65192,-1.21106
-1.1667,-0.267467,-1.62444,-1.18697
-1.20556,-0.303334,-1.59582,-1.16454
-1.24392,-0.337466,-1.5661,-1.14379
-1.28166,-0.369865,-1.53536,-1.12472
-1.31868,-0.400556,-1.50369,-1.10739
-1.35484,-0.429586,-1.47119,-1.09184
-1.39003,-0.457022,-1.43799,-1.07814
-1.42415,-0.48295,-1.40421,-1.06635
-1.45708,-0.507474,-1.37,-1.05657
-1.48874,-0.530716,-1.33553,-1.04885
-1.51904,-0.552809,-1.30097,-1.0433
-1.54791,-0.573898,-1.26649,-1.03997
-1.57527,-0.594138,-1.23228,-1.03895
-1.60108,-0.613686,-1.19856,-1.04029
-1.6253,-0.632702,-1.16551,-1.04404
-1.64789,-0.651344,-1.13335,-1.05025
-1.66882,-0.669763,-1.10228,-1.05893
-1.6881,-0.688104,-1.07253,-1.07012
-1.70572,-0.706499,-1.04428,-1.0838
-1.72168,-0.725066,-1.01775,-1.09997
-1.736,-0.743909,-0.993124,-1.11862
-1.74871,-0.763116,-0.970579,-1.13973
-1.75982,-0.78276,-0.950284,-1.16326
-1.76936,-0.802895,-0.932391,-1.18918
-1.77737,-0.823565,-0.917034,-1.21746
-1.78387,-0.844797,-0.904333,-1.24806
-1.78887,-0.866608,-0.894389,-1.28095
-1.79241,-0.889008,-0.887287,-1.31609
-1.79447,-0.911994,-0.8831,-1.35345
-1.79507,-0.935563,-0.881884,-1.39301
-1.79419,-0.959704,-0.883683,-1.43472
-1.79179,-0.984407,-0.888532,-1.47856
-1.78784,-1.00966,-0.896457,-1.5245
-1.78227,-1.03545,-0.907479,-1.57251
-1.775,-1.06177,-0.921615,-1.62254
-1.76593,-1.08861,-0.938879,-1.67456
-1.75493,-1.11596,-0.959289,-1.72853
-1.74183,-1.14383,-0.982866,-1.78436
-1.72645,-1.17223,-1.00964,-1.842
-1.70855,-1.20115,-1.03964,-1.90135
-1.68785,-1.23061,-1.07293,-1.96227
-1.66398,-1.26062,-1.10958,-2.02462
-1.63653,-1.29121,-1.14968,-2.08816
-1.60495,-1.32237,-1.19338,-2.15262
-1.56854,-1.35412,-1.24084,-2.21758
-1.52642,-1.38642,-1.2923,-2.28246
-1.47738,-1.4192,-1.34809,-2.34639
