t,phi1,phi2,phi1dot,phi2dot,deltaE
10.95,0.814935,11.6407,-2.16046,1.43628,-0.000493396
11,0.799541,11.7086,-2.22738,1.43372,-0.000493354
11.05,0.781733,11.7785,-2.28426,1.42062,-0.000493303
11.1,0.761356,11.8509,-2.32991,1.3958,-0.000493237
11.15,0.738202,11.9264,-2.36292,1.35792,-0.000493145
11.2,0.711998,12.0058,-2.38171,1.30545,-0.000493001
11.25,0.68237,12.0901,-2.38446,1.23666,-0.000492739
11.3,0.648807,12.1805,-2.36922,1.14966,-0.000492164
11.35,0.610594,12.2788,-2.33403,1.04264,-0.000490635
11.4,0.566715,12.3875,-2.27778,0.914642,-0.000485817
11.45,0.515758,12.5101,-2.20249,0.767922,-0.000468889
11.5,0.456009,12.651,-2.12045,0.615115,-0.000416016
11.55,0.386723,12.8122,-2.0698,0.494889,-0.000372554
11.6,0.311958,12.9849,-2.11238,0.469852,-0.000486361
11.65,0.240738,13.1486,-2.25569,0.548304,-0.000602533
11.7,0.178155,13.2918,-2.44006,0.67115,-0.000678079
11.75,0.123892,13.4157,-2.62189,0.795052,-0.00070164
11.8,0.0762292,13.5243,-2.78573,0.904691,-0.000708228
11.85,0.0336548,13.6213,-2.92832,0.99684,-0.000710255
11.9,-0.00494454,13.7092,-3.05028,1.07215,-0.000710966
11.95,-0.0403755,13.7896,-3.15332,1.13235,-0.000711251
12,-0.0732344,13.864,-3.23931,1.17928,-0.000711379
12.05,-0.103975,13.933,-3.30999,1.21467,-0.000711444
12.1,-0.132952,13.9975,-3.36689,1.24006,-0.000711479
12.15,-0.160454,14.0579,-3.41134,1.25676,-0.0007115
12.2,-0.186717,14.1146,-3.4445,1.26591,-0.000711512
12.25,-0.211944,14.1678,-3.46736,1.26849,-0.00071152
12.3,-0.23631,14.2177,-3.48077,1.26533,-0.000711524
12.35,-0.259969,14.2645,-3.48546,1.25714,-0.000711527
12.4,-0.283061,14.3082,-3.48207,1.24455,-0.000711527
12.45,-0.305709,14.3488,-3.47113,1.22806,-0.000711527
12.5,-0.328031,14.3865,-3.45312,1.20811,-0.000711526
12.55,-0.35013,14.4212,-3.42842,1.18508,-0.000711525
