K,V,E,T,Eerr
62.0777,-3.28867,58.789,77.2599,-0.000278053
62.4117,-3.6228,58.7889,77.6757,-0.000279248
62.5589,-3.77114,58.7878,77.8589,-0.000298101
62.498,-3.71415,58.7839,77.7831,-0.000364963
62.1841,-3.40646,58.7776,77.3924,-0.000471039
61.5651,-2.79085,58.7742,76.622,-0.000529146
60.6642,-1.87938,58.7849,75.5008,-0.000348228
59.7171,-0.902203,58.8148,74.322,0.000161745
59.171,-0.332754,58.8383,73.6424,0.000560298
59.3293,-0.505298,58.824,73.8394,0.000316587
60.011,-1.2177,58.7933,74.6878,-0.000205123
60.7792,-2.00019,58.779,75.6439,-0.000447283
61.3544,-2.57291,58.7815,76.3598,-0.000404867
61.6916,-2.90242,58.7892,76.7795,-0.000274721
61.8523,-3.05662,58.7957,76.9794,-0.000164547
61.9065,-3.10675,58.7997,77.0469,-9.57077e-05
61.9018,-3.09993,58.8019,77.0411,-5.83769e-05
61.865,-3.06191,58.803,76.9952,-3.89898e-05
61.8094,-3.00571,58.8037,76.926,-2.86257e-05
61.7422,-2.93813,58.804,76.8424,-2.23048e-05
61.6676,-2.86333,58.8043,76.7496,-1.77742e-05
61.5889,-2.78442,58.8045,76.6517,-1.40119e-05
61.5087,-2.70397,58.8047,76.5518,-1.09654e-05
61.4289,-2.62412,58.8048,76.4526,-8.68701e-06
61.3515,-2.54661,58.8049,76.3562,-7.18381e-06
61.2777,-2.47273,58.805,76.2644,-5.90746e-06
61.2085,-2.40347,58.805,76.1782,-5.18062e-06
61.1445,-2.33944,58.8051,76.0986,-4.6437e-06
61.0861,-2.28105,58.8051,76.0259,-4.35307e-06
61.0336,-2.22849,58.8051,75.9605,-4.24044e-06
60.9869,-2.18183,58.8051,75.9024,-4.25043e-06
60.9461,-2.14104,58.8051,75.8517,-4.33886e-06
60.9111,-2.10603,58.8051,75.8081,-4.47302e-06
60.8817,-2.07667,58.8051,75.7715,-4.69647e-06
60.8579,-2.05282,58.805,75.7418,-4.99197e-06
60.8394,-2.03435,58.805,75.7188,-5.21197e-06
60.8261,-2.02112,58.805,75.7023,-5.28116e-06
60.818,-2.01303,58.805,75.6923,-5.39963e-06
60.815,-2.00997,58.805,75.6885,-5.50007e-06
60.8169,-2.0119,58.805,75.6908,-5.72282e-06
60.8237,-2.01872,58.805,75.6993,-5.73627e-06
60.8354,-2.0304,58.805,75.7139,-5.76013e-06
60.8519,-2.04689,58.805,75.7344,-5.88528e-06
60.8731,-2.06812,58.805,75.7608,-5.94256e-06
60.8989,-2.09398,58.805,75.793,-6.19058e-06
60.9292,-2.12426,58.8049,75.8306,-6.70646e-06
60.9635,-2.15864,58.8049,75.8733,-7.73987e-06
61.0013,-2.1965,58.8048,75.9203,-8.98147e-06
61.0416,-2.23693,58.8047,75.9705,-1.10068e-05
61.083,-2.27845,58.8045,76.022,-1.40073e-05
61.1231,-2.31882,58.8042,76.0719,-1.85549e-05
61.1585,-2.35468,58.8039,76.116,-2.51892e-05
61.1845,-2.38121,58.8033,76.1484,-3.42775e-05
61.1943,-2.39171,58.8026,76.1606,-4.63418e-05
61.1793,-2.37754,58.8017,76.1418,-6.12224e-05
61.1293,-2.3285,58.8008,76.0797,-7.68294e-05
61.035,-2.23488,58.8001,75.9623,-8.859e-05
60.8918,-2.09164,58.8001,75.784,-8.82296e-05
60.7069,-1.90541,58.8015,75.5539,-6.60181e-05
60.506,-1.70183,58.8042,75.304,-1.91065e-05
60.3344,-1.52677,58.8076,75.0903,3.90804e-05
60.2432,-1.43331,58.8099,74.9769,7.80739e-05
60.2655,-1.4559,58.8096,75.0046,7.21765e-05
60.3962,-1.5894,58.8069,75.1673,2.57365e-05
60.5959,-1.79243,58.8035,75.4158,-3.19558e-05
60.8127,-2.01164,58.801,75.6856,-7.32188e-05
61.0056,-2.20553,58.8001,75.9257,-8.9301e-05
61.1539,-2.35357,58.8003,76.1102,-8.59782e-05
61.2538,-2.45272,58.8011,76.2346,-7.26559e-05
61.3117,-2.50971,58.802,76.3067,-5.68072e-05
61.3376,-2.53473,58.8028,76.3388,-4.24199e-05
